From To Probability
G A 0.04366543665436654
G G 0.10516605166051662
G $ 0.03136531365313653
G V 0.06826568265682657
G R 0.012915129151291513
G X 0.0006150061500615006
G E 0.006765067650676508
G T 0.0006150061500615006
G M 0.0006150061500615006
G D 0.025215252152521524
G O 0.04366543665436654
G Z 0.0006150061500615006
G ! 0.01906519065190652
G ^ 0.07441574415744158
G U 0.08056580565805659
G P 0.01906519065190652
G Y 0.0006150061500615006
G # 0.0006150061500615006
G STOP 0.11131611316113163
$ @ 0.000447227191413238
$ , 0.22406082289803222
$ L 0.000447227191413238
$ ~ 0.009391771019677997
$ & 0.009391771019677997
$ S 0.004919499105545617
$ N 0.2911449016100179
$ A 0.06305903398926654
$ G 0.009391771019677997
$ $ 0.018336314847942754
$ V 0.03175313059033989
$ R 0.022808586762075134
$ X 0.000447227191413238
$ E 0.000447227191413238
$ T 0.000447227191413238
$ M 0.004919499105545617
$ D 0.000447227191413238
$ O 0.022808586762075134
$ Z 0.000447227191413238
$ ! 0.009391771019677997
$ ^ 0.05411449016100179
$ U 0.004919499105545617
$ P 0.1614490161001789
$ Y 0.000447227191413238
$ # 0.000447227191413238
$ STOP 0.05411449016100179
V @ 0.008493196991464549
V , 0.07821347080199442
V L 0.008915744105467761
V ~ 0.0038451787374292235
V & 0.009760838333474183
V S 0.00046480182540353256
V N 0.0625792275838756
V A 0.051593002619792105
V G 0.0025775373954195894
V $ 0.011028479675483817
V V 0.15553959266458212
V R 0.0697625285219302
V X 0.00046480182540353256
V E 0.0025775373954195894
V T 0.03426857094566044
V M 4.225471140032114e-05
V D 0.15596213977858533
V O 0.12342601200033805
V Z 0.0030000845094228005
V ! 0.004267725851432435
V ^ 0.03300092960365081
V U 0.002154990281416378
V P 0.16314544071663992
V Y 4.225471140032114e-05
V # 0.000887348939406744
V STOP 0.013986309473506297
R @ 0.0015371716042481833
R , 0.15106204583566238
R L 0.015511458915595303
R ~ 0.0029346003353828954
R & 0.008524315259921743
R S 0.00013974287311347122
R N 0.011319172722191167
R A 0.1664337618781442
R G 0.007126886528787031
R $ 0.004332029066517608
R V 0.25307434320849637
R R 0.08678032420346563
R X 0.00013974287311347122
R E 0.011319172722191167
R T 0.00013974287311347122
R M 0.00013974287311347122
R D 0.04206260480715483
R O 0.07699832308552264
R Z 0.0015371716042481833
R ! 0.007126886528787031
R ^ 0.014114030184460592
R U 0.004332029066517608
R P 0.11333147009502514
R Y 0.00013974287311347122
R # 0.0029346003353828954
R STOP 0.016908887646730014
X @ 0.0048543689320388345
X , 0.05339805825242719
X L 0.0048543689320388345
X ~ 0.0048543689320388345
X & 0.0048543689320388345
X S 0.0048543689320388345
X N 0.0048543689320388345
X A 0.0048543689320388345
X G 0.0048543689320388345
X $ 0.0048543689320388345
X V 0.44174757281553395
X R 0.0048543689320388345
X X 0.0048543689320388345
X E 0.0048543689320388345
X T 0.0048543689320388345
X M 0.0048543689320388345
X D 0.39320388349514557
X O 0.0048543689320388345
X Z 0.0048543689320388345
X ! 0.0048543689320388345
X ^ 0.0048543689320388345
X U 0.0048543689320388345
X P 0.0048543689320388345
X Y 0.0048543689320388345
X # 0.0048543689320388345
X STOP 0.0048543689320388345
E @ 0.000603864734299517
E , 0.0428743961352657
E L 0.018719806763285024
E ~ 0.03683574879227053
E & 0.006642512077294687
E S 0.000603864734299517
E N 0.012681159420289856
E A 0.000603864734299517
E G 0.012681159420289856
E $ 0.000603864734299517
E V 0.03079710144927536
E R 0.018719806763285024
E X 0.000603864734299517
E E 0.10929951690821257
E T 0.000603864734299517
E M 0.000603864734299517
E D 0.006642512077294687
E O 0.0428743961352657
E Z 0.000603864734299517
E ! 0.04891304347826087
E ^ 0.000603864734299517
E U 0.03079710144927536
E P 0.006642512077294687
E Y 0.000603864734299517
E # 0.012681159420289856
E STOP 0.5561594202898551
T @ 0.010036496350364965
T , 0.21076642335766427
T L 0.0009124087591240877
T ~ 0.0009124087591240877
T & 0.010036496350364965
T S 0.0009124087591240877
T N 0.0739051094890511
T A 0.010036496350364965
T G 0.01916058394160584
T $ 0.0009124087591240877
T V 0.055656934306569344
T R 0.06478102189781022
T X 0.0009124087591240877
T E 0.010036496350364965
T T 0.0009124087591240877
T M 0.0009124087591240877
T D 0.18339416058394162
T O 0.02828467153284672
T Z 0.0009124087591240877
T ! 0.0009124087591240877
T ^ 0.055656934306569344
T U 0.0009124087591240877
T P 0.229014598540146
T Y 0.0009124087591240877
T # 0.0009124087591240877
T STOP 0.02828467153284672
M @ 0.02173913043478261
M , 0.02173913043478261
M L 0.02173913043478261
M ~ 0.02173913043478261
M & 0.02173913043478261
M S 0.02173913043478261
M N 0.02173913043478261
M A 0.23913043478260873
M G 0.02173913043478261
M $ 0.02173913043478261
M V 0.23913043478260873
M R 0.02173913043478261
M X 0.02173913043478261
M E 0.02173913043478261
M T 0.02173913043478261
M M 0.02173913043478261
M D 0.02173913043478261
M O 0.02173913043478261
M Z 0.02173913043478261
M ! 0.02173913043478261
M ^ 0.02173913043478261
M U 0.02173913043478261
M P 0.02173913043478261
M Y 0.02173913043478261
M # 0.02173913043478261
M STOP 0.02173913043478261
D @ 0.003034455755677369
D , 0.0226115896632733
D L 0.0020555990602975725
D ~ 0.003034455755677369
D & 0.001076742364917776
D S 0.005971025841816757
D N 0.5834964761158966
D A 0.1831440877055599
D G 0.006949882537196554
D $ 0.013801879404855128
D V 0.028484729835552076
D R 0.015759592795614723
D X 9.788566953797964e-05
D E 0.0020555990602975725
D T 0.003034455755677369
D M 9.788566953797964e-05
D D 0.008907595927956147
D O 0.005971025841816757
D Z 0.001076742364917776
D ! 0.001076742364917776
D ^ 0.08819498825371964
D U 0.0020555990602975725
D P 0.012823022709475333
D Y 9.788566953797964e-05
D # 0.001076742364917776
D STOP 0.0040133124510571645
O @ 0.0010480182926829271
O , 0.09727515243902439
O L 0.0010480182926829271
O ~ 0.005811737804878049
O & 0.017244664634146343
O S 9.527439024390246e-05
O N 0.02010289634146342
O A 0.02296112804878049
O G 0.00390625
O $ 0.0010480182926829271
O V 0.6031821646341464
O R 0.08298399390243903
O X 0.0010480182926829271
O E 0.008669969512195123
O T 0.010575457317073171
O M 9.527439024390246e-05
O D 0.022008384146341466
O O 0.022008384146341466
O Z 9.527439024390246e-05
O ! 0.005811737804878049
O ^ 0.009622713414634146
O U 0.0020007621951219513
O P 0.045826981707317076
O Y 9.527439024390246e-05
O # 9.527439024390246e-05
O STOP 0.015339176829268296
Z @ 0.0025906735751295338
Z , 0.08031088082901554
Z L 0.0025906735751295338
Z ~ 0.0025906735751295338
Z & 0.0025906735751295338
Z S 0.0025906735751295338
Z N 0.3911917098445596
Z A 0.20984455958549222
Z G 0.02849740932642487
Z $ 0.0025906735751295338
Z V 0.08031088082901554
Z R 0.0025906735751295338
Z X 0.0025906735751295338
Z E 0.0025906735751295338
Z T 0.0025906735751295338
Z M 0.0025906735751295338
Z D 0.0025906735751295338
Z O 0.0025906735751295338
Z Z 0.0025906735751295338
Z ! 0.0025906735751295338
Z ^ 0.15803108808290153
Z U 0.0025906735751295338
Z P 0.0025906735751295338
Z Y 0.0025906735751295338
Z # 0.0025906735751295338
Z STOP 0.0025906735751295338
! @ 0.007441190590494479
! , 0.32429188670187226
! L 0.029044647143542966
! ~ 0.012241958713394141
! & 0.00024003840614498319
! S 0.00024003840614498319
! N 0.03624579932789246
! A 0.019443110897743636
! G 0.007441190590494479
! $ 0.00024003840614498319
! V 0.041046567450792125
! R 0.02184349495919347
! X 0.00024003840614498319
! E 0.029044647143542966
! T 0.00024003840614498319
! M 0.00024003840614498319
! D 0.041046567450792125
! O 0.09145463274123859
! Z 0.00024003840614498319
! ! 0.0842534805568891
! ^ 0.03624579932789246
! U 0.007441190590494479
! P 0.0314450312049928
! Y 0.00024003840614498319
! # 0.005040806529044647
! STOP 0.17306769083053286
^ @ 0.0011275112751127513
^ , 0.2584050840508405
^ L 0.003177531775317753
^ ~ 0.004202542025420254
^ & 0.02675276752767528
^ S 0.002152521525215252
^ N 0.11490364903649036
^ A 0.013427634276342762
^ G 0.015477654776547764
^ $ 0.02675276752767528
^ V 0.12720377203772038
^ R 0.01855268552685527
^ X 0.00010250102501025011
^ E 0.005227552275522755
^ T 0.002152521525215252
^ M 0.00010250102501025011
^ D 0.002152521525215252
^ O 0.008302583025830259
^ Z 0.010352603526035259
^ ! 0.009327593275932758
^ ^ 0.2440549405494055
^ U 0.020602706027060273
^ P 0.06262812628126281
^ Y 0.00010250102501025011
^ # 0.002152521525215252
^ STOP 0.020602706027060273
U @ 0.008120649651972157
U , 0.039056457849961326
U L 0.0003866976024748646
U ~ 0.042923433874709975
U & 0.015854601701469448
U S 0.0003866976024748646
U N 0.0003866976024748646
U A 0.004253673627223511
U G 0.008120649651972157
U $ 0.008120649651972157
U V 0.027455529775715387
U R 0.004253673627223511
U X 0.0003866976024748646
U E 0.0003866976024748646
U T 0.0003866976024748646
U M 0.0003866976024748646
U D 0.0003866976024748646
U O 0.004253673627223511
U Z 0.0003866976024748646
U ! 0.008120649651972157
U ^ 0.004253673627223511
U U 0.015854601701469448
U P 0.042923433874709975
U Y 0.0003866976024748646
U # 0.058391337973704556
U STOP 0.7041763341067284
P @ 0.026551927037363934
P , 0.026551927037363934
P L 0.019196822594880848
P ~ 0.0037511032656663726
P & 0.0015445719329214476
P S 0.0015445719329214476
P N 0.12363930567814063
P A 0.0324360105913504
P G 0.006693145042659606
P $ 0.03464254192409533
P V 0.15305972344807298
P R 0.01772580170638423
P X 0.00448661370991468
P E 0.0008090614886731393
P T 7.355104442483084e-05
P M 7.355104442483084e-05
P D 0.2435275080906149
P O 0.12805236834363048
P Z 0.008164165931156223
P ! 0.0015445719329214476
P ^ 0.13908502500735512
P U 0.0015445719329214476
P P 0.019932333039129158
P Y 7.355104442483084e-05
P # 0.0015445719329214476
P STOP 0.0037511032656663726
Y @ 0.02777777777777778
Y , 0.02777777777777778
Y L 0.02777777777777778
Y ~ 0.02777777777777778
Y & 0.02777777777777778
Y S 0.02777777777777778
Y N 0.02777777777777778
Y A 0.02777777777777778
Y G 0.02777777777777778
Y $ 0.02777777777777778
Y V 0.02777777777777778
Y R 0.02777777777777778
Y X 0.02777777777777778
Y E 0.02777777777777778
Y T 0.02777777777777778
Y M 0.02777777777777778
Y D 0.3055555555555556
Y O 0.02777777777777778
Y Z 0.02777777777777778
Y ! 0.02777777777777778
Y ^ 0.02777777777777778
Y U 0.02777777777777778
Y P 0.02777777777777778
Y Y 0.02777777777777778
Y # 0.02777777777777778
Y STOP 0.02777777777777778
# @ 0.006447831184056273
# , 0.08851113716295428
# L 0.000586166471277843
# ~ 0.029894490035169988
# & 0.000586166471277843
# S 0.000586166471277843
# N 0.018171160609613133
# A 0.000586166471277843
# G 0.02403282532239156
# $ 0.012309495896834702
# V 0.012309495896834702
# R 0.006447831184056273
# X 0.000586166471277843
# E 0.012309495896834702
# T 0.000586166471277843
# M 0.000586166471277843
# D 0.006447831184056273
# O 0.012309495896834702
# Z 0.000586166471277843
# ! 0.012309495896834702
# ^ 0.018171160609613133
# U 0.02403282532239156
# P 0.018171160609613133
# Y 0.000586166471277843
# # 0.2936694021101993
# STOP 0.399179366940211
